userName,score,content,at,cleaning,case_folding,normalization,stopword_removal,translated_review,sentiment
Rinda Sihotang,5,luar biasa,2026-03-25 23:46:30,luar biasa,luar biasa,luar biasa,luar biasa,extraordinary,positive
Rina Puspita,2,"udah lama nunggu, berkali-kali di ghosting sama drivernya. pas di telpon bilangnya terlalu murah. agak shock padahal gua bayar di aplikasinya 2x harga normal.",2026-03-25 23:37:38,udah lama nunggu berkali kali ghosting sama drivernya pas telpon bilangnya terlalu murah agak padahal gua bayar aplikasinya harga normal,udah lama nunggu berkali kali ghosting sama drivernya pas telpon bilangnya terlalu murah agak padahal gua bayar aplikasinya harga normal,sudah lama menunggu berkalih kali ghosting sama drivernya pas telpon bilangnya terlalu murah agak padahal gua bayar aplikasinya harga normal,sudah lama menunggu berkalih kali ghosting sama drivernya pas telpon bilangnya terlalu agak bayar aplikasinya harga normal,i've been waiting for a long time and the driver has been ghosted many times when he called and said it was too little to pay the normal price for the application,positive
Arsad Arsad,5,Sangat membantu dlm transfortasi umum sampai ketujuan.,2026-03-25 23:31:09,sangat membantu transfortasi umum sampai ketujuan,sangat membantu transfortasi umum sampai ketujuan,sangat membantu transportasi umum sampai ketujuan,sangat membantu transportasi umum sampai ketujuan,very helpful with public transportation to reach your destination,positive
Melly Ajja,5,sippp membantu secara cepat bagi kita yg pengen sesuatu dan yg malas keluar rumah gojek gofod solusinya,2026-03-25 23:18:18,membantu secara cepat bagi kita pengen sesuatu dan malas keluar rumah gojek gofod solusinya,membantu secara cepat bagi kita pengen sesuatu dan malas keluar rumah gojek gofod solusinya,membantu secara cepat bagi kita pengin sesuatu dan malas keluar rumah gojek gofod solusinya,membantu secara cepat bagi kita pengin sesuatu dan malas keluar rumah gojek gofod solusinya,helps quickly for those of us who want something and are too lazy to leave the house. gojek gofod is the solution,positive
Sarah Syakira Natania,5,"enak bgt pake aplikasi gojek, tapi kadang suka lama dapet nyaa",2026-03-25 23:14:39,enak pake aplikasi gojek tapi kadang suka lama dapet nyaa,enak pake aplikasi gojek tapi kadang suka lama dapet nyaa,enak pakai aplikasi gojek tapi kadang suka lama dapat nya,enak pakai aplikasi gojek tapi kadang suka lama dapat,it's nice to use the gojek application but sometimes it takes a long time to get it,positive
amanah official788,5,ok,2026-03-25 23:13:55,ok,ok,baik,baik,good,positive
Oni Nuradini,3,"gofood susah banget dapat driver skrng ya, padahal bayar pake gopay Lo tetap aja susah dpt driver",2026-03-25 23:11:38,gofood susah banget dapat driver padahal bayar pake gopay tetap aja susah driver,gofood susah banget dapat driver padahal bayar pake gopay tetap aja susah driver,gofood susah banget dapat driver padahal bayar pakai gopay tetap saja susah driver,gofood susah dapat driver bayar pakai tetap saja susah driver,"gofood is difficult to get drivers, pay to use, it's still difficult to get drivers",negative
Desti Ana,1,"Tolong yaa ketika saya lagi mesen ojek, jangan di persulit, dikasihnya malah yang jauh2.. apalagi pas saya lagi kerja pagi, kadang saya pake prioritas aja masih susahh🙂",2026-03-25 22:32:10,tolong yaa ketika saya lagi mesen ojek jangan persulit dikasihnya malah yang apalagi pas saya lagi kerja pagi kadang saya pake prioritas aja masih susahh,tolong yaa ketika saya lagi mesen ojek jangan persulit dikasihnya malah yang apalagi pas saya lagi kerja pagi kadang saya pake prioritas aja masih susahh,tolong ya ketika saya lagi mesen ojek jangan persulit dikasihnya malah yang apalagi pas saya lagi kerja pagi kadang saya pakai prioritas saja masih susah,ketika saya lagi mesen ojek jangan persulit dikasihnya malah yang apalagi pas saya lagi kerja pagi kadang saya pakai prioritas saja masih susah,"when i order a motorbike taxi, don't make it difficult for me to give it, especially when i'm working in the morning, sometimes i just use priority, it's still difficult.",negative
Qinthar Rakha,1,"udah dapet drivernya lama, sekalinya dapet jauh",2026-03-25 22:21:06,udah dapet drivernya lama sekalinya dapet jauh,udah dapet drivernya lama sekalinya dapet jauh,sudah dapat drivernya lama sekalinya dapat jauh,sudah dapat drivernya lama sekalinya dapat jauh,"i got the driver, it took a long time to get it far",positive
Bayu Andrianto,1,nyari driver aja lama banget,2026-03-25 21:20:48,nyari driver aja lama banget,nyari driver aja lama banget,mencari driver saja lama banget,mencari driver saja lama,just looking for a driver takes a long time,negative
Savina,4,"makin lama makin buruk, sinyal full tp buat buka aplikasi gojek lelet luama poll. padahal buat buka lainnya lancar lancar aja",2026-03-25 20:47:03,makin lama makin buruk sinyal full buat buka aplikasi gojek lelet luama poll padahal buat buka lainnya lancar lancar aja,makin lama makin buruk sinyal full buat buka aplikasi gojek lelet luama poll padahal buat buka lainnya lancar lancar aja,makin lama makin buruk sinyal full buat buka aplikasi gojek lelet luama poll padahal buat buka lainnya lancar lancar saja,makin lama makin buruk sinyal full buat buka aplikasi gojek lelet luama poll buat buka lainnya lancar lancar saja,"it's getting worse and worse, the full signal for opening the gojek application is slow and the poll for other openings is just smooth",negative
BAWAH TANAH,5,mantap,2026-03-25 19:53:01,mantap,mantap,mantap,mantap,excellent,positive
Ariella syifa,2,"saya sudah punya akun trus mau masuk ke akun saya tapi tidak bisa katanya jaringan anda mati padahal jaringannya tidak mati sama sekali lancar banget malahan,ini gimana sih apknya udah tak coba² sampe beberapa kali tapi sama aja kaya gitu",2026-03-25 19:07:29,saya sudah punya akun trus mau masuk akun saya tapi tidak bisa katanya jaringan anda mati padahal jaringannya tidak mati sama sekali lancar banget malahan ini gimana sih apknya udah tak coba sampe beberapa kali tapi sama aja kaya gitu,saya sudah punya akun trus mau masuk akun saya tapi tidak bisa katanya jaringan anda mati padahal jaringannya tidak mati sama sekali lancar banget malahan ini gimana sih apknya udah tak coba sampe beberapa kali tapi sama aja kaya gitu,saya sudah punya akun terus mau masuk akun saya tapi tidak bisa katanya jaringan anda mati padahal jaringannya tidak mati sama sekali lancar banget malahan ini bagaimana sih apknya sudah tak coba sampai beberapa kali tapi sama saja kayak begitu,saya sudah punya akun terus mau masuk akun saya tapi tidak bisa katanya jaringan anda mati jaringannya tidak mati sama sekali lancar malahan ini bagaimana apknya sudah tak coba sampai beberapa kali tapi sama saja kayak begitu,"i already have an account and i want to log in to my account but i can't, it says your network is down, the network isn't dead at all, it's running smoothly, in fact, this is how the apk works, i haven't tried it several times but it's the same as that.",positive
Sri Sulastri,5,membantu sekali dlm keadaan darurat,2026-03-25 19:05:16,membantu sekali keadaan darurat,membantu sekali keadaan darurat,membantu sekali keadaan darurat,membantu sekali keadaan darurat,very helpful in emergencies,positive
Ahmad Raffi,5,saya sangat senang sekali pakai aplikasi gojek ini,2026-03-25 18:29:17,saya sangat senang sekali pakai aplikasi gojek ini,saya sangat senang sekali pakai aplikasi gojek ini,saya sangat senang sekali pakai aplikasi gojek ini,saya sangat senang sekali pakai aplikasi gojek ini,i really enjoy using this gojek application,positive
Muhammad Ali,5,bangus,2026-03-25 17:46:01,bangus,bangus,bangus,bangus,bangus,neutral
Sintya Damaspuspita,3,"masih error,, udh 6 hari ini ngk bisa dapet Gopay Coins,, tolong diperbarui seperti semula dong🙏🙏",2026-03-25 17:45:11,masih error udh hari ini bisa dapet gopay coins tolong diperbarui seperti semula dong,masih error udh hari ini bisa dapet gopay coins tolong diperbarui seperti semula dong,masih error sudah hari ini bisa dapat gopay coins tolong diperbarui seperti semula dong,masih error sudah hari ini bisa dapat coins diperbarui seperti semula dong,"there's still an error, today you can get coins updated as before",neutral
Rizki Kuntul,1,jangan pakai gopay lagi.aplikasi paling buruk.setelah pembayaran lewat qris akun di blokir dan saldo gopay di bekukan!!!!!!!!!!,2026-03-25 17:37:50,jangan pakai gopay lagi aplikasi paling buruk setelah pembayaran lewat qris akun blokir dan saldo gopay bekukan,jangan pakai gopay lagi aplikasi paling buruk setelah pembayaran lewat qris akun blokir dan saldo gopay bekukan,jangan pakai gopay lagi aplikasi paling buruk setelah pembayaran lewat qris akun blokir dan saldo gopay bekuan,jangan pakai lagi aplikasi paling buruk setelah pembayaran lewat qris akun blokir dan saldo bekuan,"don't use the worst application again after payment via qris, blocked account and frozen balance",negative
Susdianti,5,terimakasih bagus tepat waktu,2026-03-25 17:36:08,terimakasih bagus tepat waktu,terimakasih bagus tepat waktu,terimakasih bagus tepat waktu,terimakasih bagus tepat waktu,"thank you, good on time",positive
Dessy Aristiawati,3,harusnya kita pelanggan jg bisa melihat rating kita sendiri,2026-03-25 17:29:12,harusnya kita pelanggan bisa melihat rating kita sendiri,harusnya kita pelanggan bisa melihat rating kita sendiri,harusnya kita pelanggan bisa melihat ranting kita sendiri,harusnya kita pelanggan bisa melihat ranting kita sendiri,"we, customers, should be able to see our own branches",positive
Febi Sriyanti,1,driver car wilayah Jatibarang suka cancel orderan katanya titik penjemputan jauh.tidak memuaskan,2026-03-25 17:13:33,driver car wilayah jatibarang suka cancel orderan katanya titik penjemputan jauh tidak memuaskan,driver car wilayah jatibarang suka cancel orderan katanya titik penjemputan jauh tidak memuaskan,driver car wilayah jatibarang suka cancel orderan katanya titik penjemputan jauh tidak memuaskan,driver car wilayah jatibarang suka cancel orderan katanya titik penjemputan jauh tidak memuaskan,"jatibarang area car drivers like to cancel orders, saying the pick-up point is far away and unsatisfactory",positive
Mau Lana,1,saya sangat kecewa hampir 2 jam tidak dapet driver dan tidak bisa di batalin,2026-03-25 17:00:35,saya sangat kecewa hampir jam tidak dapet driver dan tidak bisa batalin,saya sangat kecewa hampir jam tidak dapet driver dan tidak bisa batalin,saya sangat kecewa hampir jam tidak dapat driver dan tidak bisa batalion,saya sangat kecewa hampir jam tidak dapat driver dan tidak bisa batalion,i was very disappointed that almost the hour i couldn't get the driver and i couldn't get the battalion,negative
Chandra Kharisma,5,sangat nyaman..,2026-03-25 16:58:21,sangat nyaman,sangat nyaman,sangat nyaman,sangat nyaman,very comfortable,positive
Rusman Rimolla Rahman,2,"mohon maaf , tidak sesuai dengan titik tujuan.bisa bisa kita sebagai costumer berdebat dengan driver",2026-03-25 16:58:05,mohon maaf tidak sesuai dengan titik tujuan bisa bisa kita sebagai costumer berdebat dengan driver,mohon maaf tidak sesuai dengan titik tujuan bisa bisa kita sebagai costumer berdebat dengan driver,mohon maaf tidak sesuai dengan titik tujuan bisa bisa kita sebagai costumer berdebat dengan driver,mohon tidak sesuai dengan titik tujuan bisa bisa kita sebagai costumer berdebat dengan driver,"please, if it doesn't match the destination point, we as customers can argue with the driver",neutral
Suryono Luhur Pribadi,5,"cepat, tepat dan aman",2026-03-25 16:53:59,cepat tepat dan aman,cepat tepat dan aman,cepat tepat dan aman,cepat tepat dan aman,"fast, accurate and safe",positive
Okik Andiyas,1,selalu di batalin padahal pake prioritas,2026-03-25 16:53:01,selalu batalin padahal pake prioritas,selalu batalin padahal pake prioritas,selalu batalion padahal pakai prioritas,selalu batalion pakai prioritas,always the battalion uses priority,neutral
Raisya Ica,5,mudah,2026-03-25 16:49:04,mudah,mudah,mudah,mudah,easy,positive
Silvia Wrdni04,1,"lama mencari driver untuk mengantar pesanan, sangat buruk",2026-03-25 16:43:52,lama mencari driver untuk mengantar pesanan sangat buruk,lama mencari driver untuk mengantar pesanan sangat buruk,lama mencari driver untuk mengantar pesanan sangat buruk,lama mencari driver untuk mengantar pesanan sangat buruk,the long search for a driver to deliver the order was very bad,negative
Agung “Quartavio” Priyo Nugroho,1,"hapus aja fitur Flash di GoFood. Gak mutu. Katanya waktu antarnya 15-20 menit, tapi dari jarak pesan sampai batas akhir pengantaran selisihnya bisa sampe 40 menit... Jadi percuma bayar lebih",2026-03-25 16:38:27,hapus aja fitur gofood gak mutu katanya waktu antarnya menit tapi dari jarak pesan sampai batas akhir pengantaran selisihnya bisa sampe menit jadi percuma bayar lebih,hapus aja fitur gofood gak mutu katanya waktu antarnya menit tapi dari jarak pesan sampai batas akhir pengantaran selisihnya bisa sampe menit jadi percuma bayar lebih,hapus saja fitur gofood enggak mutu katanya waktu hantarnya menit tapi dari jarak pesan sampai batas akhir pengantaran selisihnya bisa sampai menit jadi percuma bayar lebih,hapus saja fitur gofood enggak mutu katanya waktu hantarnya menit tapi jarak pesan sampai batas akhir pengantaran selisihnya bisa sampai menit jadi percuma bayar lebih,"just delete the gofood feature, it's not good, it says the delivery time is minutes, but the distance between order and delivery deadline can be up to minutes, so it's useless to pay more",negative
Nur Baeti,1,klo gada driver pas psen gofood jadi susah batalin grus nunggu 40mnit,2026-03-25 16:29:30,klo gada driver pas psen gofood jadi susah batalin grus nunggu,klo gada driver pas psen gofood jadi susah batalin grus nunggu,kalo enggak ada driver pas psen gofood jadi susah batalion grus menunggu,enggak ada driver pas psen gofood jadi susah batalion grus menunggu,there were no drivers when ordering gofood so it was difficult for the battalion to wait,negative
Anggun Heriyawati Arif,1,lama dapet driver nya,2026-03-25 16:06:17,lama dapet driver nya,lama dapet driver nya,lama dapat driver nya,lama dapat driver,took a long time to get the driver,negative
KHOLID MAWARDI,5,mantap pakai gojek dan juga ada gopay,2026-03-25 15:53:44,mantap pakai gojek dan juga ada gopay,mantap pakai gojek dan juga ada gopay,mantap pakai gojek dan juga ada gopay,mantap pakai gojek dan ada,it's great to use gojek and it's available,positive
yanto gilang edan,1,driver lama dapetnya dan gak bisa di cancel,2026-03-25 15:41:16,driver lama dapetnya dan gak bisa cancel,driver lama dapetnya dan gak bisa cancel,driver lama dapetnya dan enggak bisa cancel,driver lama dapetnya dan enggak bisa cancel,the driver took a long time to get it and couldn't cancel it,negative
Pengguna Google,5,bagus,2026-03-25 15:21:21,bagus,bagus,bagus,bagus,good,positive
Rangga Rizki,1,expres harganya nambah tapi waktunya sama kaya reguler,2026-03-25 15:21:16,expres harganya nambah tapi waktunya sama kaya reguler,expres harganya nambah tapi waktunya sama kaya reguler,expres harganya menambah tapi waktunya sama kayak reguler,expres harganya menambah tapi waktunya sama kayak reguler,express prices increase but the time is the same as regular,neutral
Lusi Novianti,5,suka banget ketika ada pesan goride terus di cancel langsung di ganti sama gojek lain pertahanin kenyamanannya ya pak kalau bisa kecepatan penjemputan lebih cepat sejauh ini udh oke,2026-03-25 15:10:46,suka banget ketika ada pesan goride terus cancel langsung ganti sama gojek lain pertahanin pak kalau bisa kecepatan penjemputan lebih cepat sejauh ini udh oke,suka banget ketika ada pesan goride terus cancel langsung ganti sama gojek lain pertahanin pak kalau bisa kecepatan penjemputan lebih cepat sejauh ini udh oke,suka banget ketika ada pesan goride terus cancel langsung ganti sama gojek lain pertahanan pak kalau bisa kecepatan penjemputan lebih cepat sejauh ini sudah oke,suka ketika ada pesan goride terus cancel langsung ganti sama gojek lain pertahanan pak kalau bisa kecepatan penjemputan lebih cepat sejauh ini sudah,"i like it when there is a goride message and then cancel it, immediately replace it with another gojek, sir, if possible, the pick-up speed is faster so far.",positive
Afifah Fitia hasna,5,bagus ramah bijak,2026-03-25 15:02:33,bagus ramah bijak,bagus ramah bijak,bagus ramah bijak,bagus ramah bijak,good friendly wise,positive
Kuli Kalem,1,fitur aneh gajelas nambah biaya,2026-03-25 14:56:35,fitur aneh gajelas nambah biaya,fitur aneh gajelas nambah biaya,fitur aneh enggak jelas menambah biaya,fitur aneh enggak jelas menambah biaya,strange features don't obviously add to the cost,negative
Hermansyah,5,sangat membantu saat membutuhkan transportasi instant dan ekonomis,2026-03-25 14:48:18,sangat membantu saat membutuhkan transportasi instant dan ekonomis,sangat membantu saat membutuhkan transportasi instant dan ekonomis,sangat membantu saat membutuhkan transportasi instan dan ekonomis,sangat membantu saat membutuhkan transportasi instan dan ekonomis,very helpful when you need instant and economical transportation,positive
Azhar Muhamad,5,aplikasi ini membantu kita dimanapun,2026-03-25 14:46:59,aplikasi ini membantu kita dimanapun,aplikasi ini membantu kita dimanapun,aplikasi ini membantu kita dimanapun,aplikasi ini membantu kita dimanapun,this application helps us everywhere,neutral
Igun Crz,1,aplikasi bagongg ga ada driver gojek di seluruh Jawa barat,2026-03-25 14:40:33,aplikasi bagongg ga ada driver gojek seluruh jawa barat,aplikasi bagongg ga ada driver gojek seluruh jawa barat,aplikasi bagong tidak ada driver gojek seluruh jawa barat,aplikasi bagong tidak ada driver gojek seluruh jawa barat,bagong application has no gojek drivers throughout west java,neutral
Juna Fvh,5,bagus datang sesuai pesanan,2026-03-25 14:38:40,bagus datang sesuai pesanan,bagus datang sesuai pesanan,bagus datang sesuai pesanan,bagus datang sesuai pesanan,"good, arrived as ordered",positive
Lily Prayitno,5,mantap,2026-03-25 14:27:27,mantap,mantap,mantap,mantap,excellent,positive
Sudarno Margorejo,3,kenapa ya sekarang tu susah banget dapet driver ...,2026-03-25 14:26:03,kenapa sekarang susah banget dapet driver,kenapa sekarang susah banget dapet driver,kenapa sekarang susah banget dapat driver,kenapa sekarang susah dapat driver,why is it difficult to get drivers now?,negative
Farid Cahyo,4,good,2026-03-25 14:20:30,good,good,good,good,good,positive
Fatimah Adilla,1,"tolong kasih opsi untuk memberi bintang ke driver yang suka minta cancel padahal udah sampe ke posisi dong, berapa kali nemu driver yg suka maksa minta cancel dari penumpang nya.",2026-03-25 14:18:05,tolong kasih opsi untuk memberi bintang driver yang suka minta cancel padahal udah sampe posisi dong berapa kali nemu driver suka maksa minta cancel dari penumpang nya,tolong kasih opsi untuk memberi bintang driver yang suka minta cancel padahal udah sampe posisi dong berapa kali nemu driver suka maksa minta cancel dari penumpang nya,tolong kasih opsi untuk memberi bintang driver yang suka meminta cancel padahal sudah sampai posisi dong berapa kali nemu driver suka maksa meminta cancel dari penumpang nya,kasih opsi untuk memberi bintang driver yang suka meminta cancel sudah sampai posisi dong berapa kali nemu driver suka maksa meminta cancel penumpang,give the option to give stars to drivers who like to ask to cancel. how many times have you found drivers who like to forcefully ask passengers to cancel?,positive
Evan Saladin,1,kpd yth manajemen gojek saya ini tiap mau pesen gofood kenapa selalu susah cari driver ya mohon di perbaiki sistemnya,2026-03-25 14:16:25,manajemen gojek saya ini tiap mau pesen gofood kenapa selalu susah cari driver mohon perbaiki sistemnya,manajemen gojek saya ini tiap mau pesen gofood kenapa selalu susah cari driver mohon perbaiki sistemnya,manajemen gojek saya ini tiap mau pesan gofood kenapa selalu susah cari driver mohon perbaiki sistemnya,manajemen gojek saya ini tiap mau pesan gofood kenapa selalu susah cari driver mohon perbaiki sistemnya,"my gojek management, every time i want to order gofood, why is it always difficult to find drivers, please improve the system",negative
Caroline Natalia Hutagalung08,5,"murah, maaf buat driver nya kdng di cari gada susah di batalin mahal tiba tiba udah di lokasi padahal udh di batalin",2026-03-25 14:14:25,murah maaf buat driver nya cari gada susah batalin mahal tiba tiba udah lokasi padahal udh batalin,murah maaf buat driver nya cari gada susah batalin mahal tiba tiba udah lokasi padahal udh batalin,murah maaf buat driver nya cari enggak ada susah batalion mahal tiba tiba sudah lokasi padahal sudah batalion,buat driver cari enggak ada susah batalion mahal tiba tiba sudah lokasi sudah batalion,it's not difficult for drivers to find expensive battalions. suddenly the location is already battalioned,negative
almert tampubolon,5,Ok,2026-03-25 14:11:22,ok,ok,baik,baik,good,positive
Jamu Kembangan,1,"driver nya kalo mood ambil, kalo ngk mood cancel, babiiii",2026-03-25 14:10:26,driver nya kalo mood ambil kalo mood cancel,driver nya kalo mood ambil kalo mood cancel,driver nya kalo mood ambil kalo mood cancel,driver mood ambil mood cancel,mood driver take mood cancel,neutral
Mohammad Bahrul Ulum a1,1,susah cari driver.,2026-03-25 14:09:27,susah cari driver,susah cari driver,susah cari driver,susah cari driver,hard to find a driver,negative
Femi Ade saputra,1,aplikasi asuk.. susah kali masuk. gak berguna,2026-03-25 14:03:01,aplikasi asuk susah kali masuk gak berguna,aplikasi asuk susah kali masuk gak berguna,aplikasi asuk susah kali masuk enggak berguna,aplikasi asuk susah kali masuk enggak berguna,"the login application is difficult to enter, it's useless",negative
Dadang Sutejo,1,kecewa stiap urgent susah bgt dpt driver kyanya mnding sy ganti ke apk sebelah,2026-03-25 13:58:35,kecewa stiap urgent susah driver kyanya ganti apk sebelah,kecewa stiap urgent susah driver kyanya ganti apk sebelah,kecewa setiap urgen susah driver kayanya ganti aplikasi sebelah,kecewa setiap urgen susah driver kayanya ganti aplikasi sebelah,"disappointed, every time an emergency arises, the driver seems to change the next application",negative
Nurmala Sari,1,makin kesini pelayanan nya makin lama,2026-03-25 13:56:03,makin kesini pelayanan nya makin lama,makin kesini pelayanan nya makin lama,makin kesini pelayanan nya makin lama,makin kesini pelayanan makin lama,"the longer the service here, the longer it takes",neutral
Zack Arya,1,makin susah cari driver,2026-03-25 13:42:19,makin susah cari driver,makin susah cari driver,makin susah cari driver,makin susah cari driver,it's getting harder to find drivers,negative
Smarfren 23,1,"5 menit lagi sampai, 10 menit ditunggu belum juga datang . perbaiki!",2026-03-25 13:41:49,5 menit lagi sampai menit ditunggu belum juga datang perbaiki,5 menit lagi sampai menit ditunggu belum juga datang perbaiki,lima menit lagi sampai menit ditunggu belum juga datang perbaiki,lima menit lagi sampai menit ditunggu belum datang perbaiki,another five minutes until the minutes of waiting have not yet come to fix it,neutral
Tama,1,"kira taun ini berubah terutama go food tambah parah, rugi udah langganan gojek plus, waktu mau gofood ga ada driver yang ambil,",2026-03-25 13:32:10,kira taun ini berubah terutama food tambah parah rugi udah langganan gojek plus waktu mau gofood ga ada driver yang ambil,kira taun ini berubah terutama food tambah parah rugi udah langganan gojek plus waktu mau gofood ga ada driver yang ambil,kira tahun ini berubah terutama food tambah parah rugi sudah langganan gojek plus waktu mau gofood tidak ada driver yang ambil,kira tahun ini berubah terutama food tambah parah rugi sudah langganan gojek plus waktu mau gofood tidak ada driver yang ambil,"i think this year things have changed, especially food, the loss is even worse, i already subscribe to gojek, plus when i wanted to gofood, there was no driver to take it",negative
Firda Chay,2,"lain kali kalo misal ga ada driver konfirmasiin dong, udah nunggu luamaa bgtt akhirnyaa canceellll,, kan sebel udah laperr",2026-03-25 13:23:10,lain kali kalo misal ga ada driver konfirmasiin dong udah nunggu luamaa akhirnyaa kan sebel udah laperr,lain kali kalo misal ga ada driver konfirmasiin dong udah nunggu luamaa akhirnyaa kan sebel udah laperr,lain kali kalo misal tidak ada driver konfirmasi dong sudah menunggu luamaa akhirnya kan sebel sudah laperr,lain kali misal tidak ada driver konfirmasi dong sudah menunggu luamaa akhirnya kan sebel sudah laperr,"next time, for example, there is no confirmation driver, i've been waiting for a long time, finally i'm already hungry",negative
Azzahra Irma,1,"Kenapa driver pada ga mau ambil orderan sihh, udah 3x kyak gini, ga pada mau ambil orderan, padahal kan banyak drivernya, tpi ga ada mau ambil orderannya",2026-03-25 13:11:46,kenapa driver pada ga mau ambil orderan sihh udah kyak gini ga pada mau ambil orderan padahal kan banyak drivernya tpi ga ada mau ambil orderannya,kenapa driver pada ga mau ambil orderan sihh udah kyak gini ga pada mau ambil orderan padahal kan banyak drivernya tpi ga ada mau ambil orderannya,kenapa driver pada tidak mau ambil orderan sih sudah kayak begini tidak pada mau ambil orderan padahal kan banyak drivernya tapi tidak ada mau ambil orderannya,kenapa driver pada tidak mau ambil orderan sudah kayak begini tidak pada mau ambil orderan kan banyak drivernya tapi tidak ada mau ambil orderannya,"why don't drivers want to take orders, it's like this, they don't want to take orders, there are lots of drivers but no one wants to take orders.",positive
Ayu Lestari,5,tepat waktu dan ramah,2026-03-25 13:08:37,tepat waktu dan ramah,tepat waktu dan ramah,tepat waktu dan ramah,tepat waktu dan ramah,punctual and friendly,positive
kosim budi,1,"gajelas,mesen gofood nunggu sejam nunggu resto lagi nyiapin makanan...udh selesai gadapet driver ko malah sruh beli ulang,lawak bget...ngasi driver yg bener lah lawak",2026-03-25 13:08:18,gajelas mesen gofood nunggu sejam nunggu resto lagi nyiapin makanan udh selesai gadapet driver malah sruh beli ulang lawak bget ngasi driver bener lah lawak,gajelas mesen gofood nunggu sejam nunggu resto lagi nyiapin makanan udh selesai gadapet driver malah sruh beli ulang lawak bget ngasi driver bener lah lawak,enggak jelas mesen gofood menunggu sejam menunggu resto lagi nyiapin makanan sudah selesai gadapet driver malah sruh beli ulang lawak banget mengasih driver benar lah lawak,enggak jelas mesen gofood menunggu sejam menunggu resto lagi nyiapin makanan sudah selesai gadapet driver malah sruh beli ulang lawak mengasih driver benar lah lawak,"it's not clear, ordered gofood, waited for an hour, waited for the restaurant to prepare the food, finished, didn't get the driver, instead asked to buy it again, the joke of giving the driver is true, it's a joke",positive
tiwi Amix,1,"SUDAH ONGKIR MAHAL, & ADA BIAYA TAMBAHAN LAIN"" JUGA",2026-03-25 13:04:49,sudah ongkir mahal ada biaya tambahan lain juga,sudah ongkir mahal ada biaya tambahan lain juga,sudah ongkir mahal ada biaya tambahan lain juga,sudah ongkir mahal ada biaya tambahan lain,"postage is already expensive, there are other additional costs",negative
Zhari Abadi Adil,1,susah banget nyari driver ga pernah di bawah setengah jam.,2026-03-25 13:00:55,susah banget nyari driver ga pernah bawah setengah jam,susah banget nyari driver ga pernah bawah setengah jam,susah banget mencari driver tidak pernah bawah setengah jam,susah mencari driver tidak pernah bawah setengah jam,"it's hard to find a driver, it never takes less than half an hour",negative
ell ell,5,lebih gampang pas ada ini,2026-03-25 13:00:05,lebih gampang pas ada ini,lebih gampang pas ada ini,lebih gampang pas ada ini,lebih gampang pas ada ini,it's easier when you have this,neutral
ALKA,1,mana nih drivernya gw udah dari jam 18.17 sampe jam 20.00 ga dapet dapet drivernya. gw laper woi hadehh,2026-03-25 12:56:57,mana nih drivernya udah dari jam sampe jam ga dapet dapet drivernya laper woi hadehh,mana nih drivernya udah dari jam sampe jam ga dapet dapet drivernya laper woi hadehh,mana nih drivernya sudah dari jam sampai jam tidak dapat dapat drivernya laper woi hadehh,mana drivernya sudah jam sampai jam tidak dapat dapat drivernya laper woi hadehh,"where the driver has been waiting for hours and can't get the driver, he's hungry, wow hadehh",positive
Ce Nisa,1,"Gojek tolong kasih tau ke driver mobil, kita sebagai pengguna layanan naik mobil dia tu bayar, bukan nebeng, beneran dah naik go car rata rata drivernya ngerasa kalo kita pelanggan ini sedusun itu naik mobil dia, kayak diliatnya orang miskin yang kepengen naek mobil dia, yaampun, padahal kita pake gocar karena males bawa mobil",2026-03-25 12:56:45,gojek tolong kasih tau driver mobil kita sebagai pengguna layanan naik mobil dia bayar bukan nebeng beneran dah naik car rata rata drivernya ngerasa kalo kita pelanggan ini sedusun itu naik mobil dia kayak diliatnya orang miskin yang kepengen naek mobil dia yaampun padahal kita pake gocar karena males bawa mobil,gojek tolong kasih tau driver mobil kita sebagai pengguna layanan naik mobil dia bayar bukan nebeng beneran dah naik car rata rata drivernya ngerasa kalo kita pelanggan ini sedusun itu naik mobil dia kayak diliatnya orang miskin yang kepengen naek mobil dia yaampun padahal kita pake gocar karena males bawa mobil,gojek tolong kasih tau driver mobil kita sebagai pengguna layanan naik mobil dia bayar bukan nebeng benaran deh naik car rata rata drivernya merasa kalo kita pelanggan ini sedusun itu naik mobil dia kayak dilihatnya orang miskin yang kepengen naik mobil dia yaampun padahal kita pakai gocar karena malas bawa mobil,gojek kasih driver mobil kita sebagai pengguna layanan naik mobil bayar bukan nebeng benaran naik car rata rata drivernya merasa kita pelanggan ini sedusun itu naik mobil kayak dilihatnya orang miskin yang kepengen naik mobil yaampun kita pakai gocar karena malas bawa mobil,"gojek gives our car drivers as service users paying car rides, not car rides, actually car rides, the average driver feels that we are customers, this village is in a car, as seen by poor people who want to ride a car, even though we use gocars because we are too lazy to drive a car.",negative
