userName,score,content,at,clean_content,sentiment,cleaning,case_folding,normalization,stopword_removal
Sulis Tiyani,4,"Lumayan tp d hpku udah gk bisa lagi kebuka perangkatnya, bagaimn cara perangkatnya dapt kembali lg dan dapt d gumnkn lagi terima kasih",2026-03-27 03:28:25,lumayan tp d hpku udah gk bisa lagi kebuka perangkatnya bagaimn cara perangkatnya dapt kembali lg dan dapt d gumnkn lagi terima kasih,positif,lumayan hpku udah gk bisa lagi kebuka perangkatnya bagaimn cara perangkatnya dapt kembali dan dapt lagi terima kasih,lumayan hpku udah gk bisa lagi kebuka perangkatnya bagaimn cara perangkatnya dapt kembali dan dapt lagi terima kasih,lumayan hpku sudah tidak bisa lagi kebuk pangkatnya bagaiman cara pangkatnya dapt kembali dan dapt lagi terima kasih,lumayan hpku sudah tidak bisa lagi kebuk pangkatnya bagaiman cara pangkatnya dapt kembali dan dapt lagi terima kasih
Ruddy Cooper,1,jadi masalah nya begini saya memesan goride ke tempat a tapi maps di drivernya menuju ke tempat b. akhirnya saya diantar oleh driver ke tempat a dan akhirnya saya mengeluarkan uang lagi yg nominalnya lumayan besar untuk jarak yg dekat ( harga tambahan nya 3× lipat dari tempat saya order dari stasiun hingga tempat a ). jadi saya harap hal² seperti ini tidak terulang lagi,2026-03-27 03:18:00,jadi masalah nya begini saya memesan goride ke tempat a tapi maps di drivernya menuju ke tempat b akhirnya saya diantar oleh driver ke tempat a dan akhirnya saya mengeluarkan uang lagi yg nominalnya lumayan besar untuk jarak yg dekat harga tambahan nya lipat dari tempat saya order dari stasiun hingga tempat a jadi saya harap hal seperti ini tidak terulang lagi,negatif,jadi masalah nya begini saya memesan goride tempat tapi maps drivernya menuju tempat akhirnya saya diantar oleh driver tempat dan akhirnya saya mengeluarkan uang lagi nominalnya lumayan besar untuk jarak dekat harga tambahan nya lipat dari tempat saya order dari stasiun hingga tempat jadi saya harap hal seperti ini tidak terulang lagi,jadi masalah nya begini saya memesan goride tempat tapi maps drivernya menuju tempat akhirnya saya diantar oleh driver tempat dan akhirnya saya mengeluarkan uang lagi nominalnya lumayan besar untuk jarak dekat harga tambahan nya lipat dari tempat saya order dari stasiun hingga tempat jadi saya harap hal seperti ini tidak terulang lagi,jadi masalah nya begini saya memesan goride tempat tapi maps drivernya menuju tempat akhirnya saya diantar oleh driver tempat dan akhirnya saya mengeluarkan uang lagi nominalnya lumayan besar untuk jarak dekat harga tambahan nya lipat dari tempat saya order dari stasiun hingga tempat jadi saya harap hal seperti ini tidak terulang lagi,jadi masalah begini saya memesan goride tempat tapi maps drivernya menuju tempat akhirnya saya diantar oleh driver tempat dan akhirnya saya mengeluarkan uang lagi nominalnya lumayan besar untuk jarak dekat harga tambahan lipat tempat saya stasiun hingga tempat jadi saya harap hal seperti ini tidak terulang lagi
Teni 11,5,good,2026-03-27 03:07:07,good,positif,good,good,good,good
Ariadi Trianantod,1,gagguna,2026-03-27 03:00:40,gagguna,negatif,gagguna,gagguna,gagguna,gagguna
Andy Onden,5,semuanya ok baik!,2026-03-27 02:51:36,semuanya ok baik,positif,semuanya ok baik,semuanya ok baik,semuanya baik baik,semuanya baik baik
Sholahuddin Lala,4,sangat membantu,2026-03-27 02:50:09,sangat membantu,positif,sangat membantu,sangat membantu,sangat membantu,sangat membantu
Arin Arin,1,SEKARANG BANYAK DRIVER SOMBONG MINTA BATALIN ORDERAN YANG CUMAN 25 RB AN GA MAU DI AMBIL,2026-03-27 02:46:59,sekarang banyak driver sombong minta batalin orderan yang cuman rb an ga mau di ambil,negatif,sekarang banyak driver sombong minta batalin orderan yang cuman ga mau ambil,sekarang banyak driver sombong minta batalin orderan yang cuman ga mau ambil,sekarang banyak driver sombong meminta batalion orderan yang cuman tidak mau ambil,sekarang banyak driver sombong meminta batalion orderan yang tidak mau ambil
Muhaimin Muhabibi,5,mantap sekali,2026-03-27 02:29:39,mantap sekali,positif,mantap sekali,mantap sekali,mantap sekali,mantap sekali
Rizka Lidya,1,aplikasi yang sangat tidak profesional. saya pesan gomart dan barang yang dikirim kurang namun gojek tidak bisa membantu penyelesaian masalah saya. sangat menyesal saya menggunakan aplikasi gojek.,2026-03-27 02:24:26,aplikasi yang sangat tidak profesional saya pesan gomart dan barang yang dikirim kurang namun gojek tidak bisa membantu penyelesaian masalah saya sangat menyesal saya menggunakan aplikasi gojek,negatif,aplikasi yang sangat tidak profesional saya pesan gomart dan barang yang dikirim kurang namun gojek tidak bisa membantu penyelesaian masalah saya sangat menyesal saya menggunakan aplikasi gojek,aplikasi yang sangat tidak profesional saya pesan gomart dan barang yang dikirim kurang namun gojek tidak bisa membantu penyelesaian masalah saya sangat menyesal saya menggunakan aplikasi gojek,aplikasi yang sangat tidak profesional saya pesan gomart dan barang yang dikirim kurang namun gojek tidak bisa membantu penyelesaian masalah saya sangat menyesal saya menggunakan aplikasi gojek,aplikasi yang sangat tidak profesional saya pesan gomart dan barang yang dikirim kurang namun gojek tidak bisa membantu penyelesaian masalah saya sangat menyesal saya menggunakan aplikasi gojek
FanzzSkuyy,5,BINTANG 5 UNTUK GOJEK!!,2026-03-27 01:49:37,bintang untuk gojek,positif,bintang 5 untuk gojek,bintang 5 untuk gojek,bintang lima untuk gojek,bintang lima untuk gojek
Ahmadyani1987 Zack,5,menyala abmgku,2026-03-27 01:42:04,menyala abmgku,positif,menyala abmgku,menyala abmgku,menyala abmgku,menyala abmgku
Feri Friaman,5,mantap,2026-03-27 01:38:20,mantap,positif,mantap,mantap,mantap,mantap
Agung Supriatna,5,cepat dan aman,2026-03-27 01:35:08,cepat dan aman,positif,cepat dan aman,cepat dan aman,cepat dan aman,cepat dan aman
Vicky Gilang,1,"idih idih kapitalisss, ikut2an double order, triple order, padahal customer bayar ongkir, makanan hangat jadi dingin gara2 kerakusan kalian nyari margin gede tapi gada otak, driver juga dirugikan karena harus bentrok dengan kesabaran menghadapi customer dan cuma dapat tarif order yg terdelusi demi gaji 2 digit orang2 kantor kek kalian. Saham GOTO otw gocapppp. Delisting dari bursa efek. Gojek karya anak bangsa otw bangkrut....",2026-03-27 01:35:06,idih idih kapitalisss ikutan double order triple order padahal customer bayar ongkir makanan hangat jadi dingin gara kerakusan kalian nyari margin gede tapi gada otak driver juga dirugikan karena harus bentrok dengan kesabaran menghadapi customer dan cuma dapat tarif order yg terdelusi demi gaji digit orang kantor kek kalian saham goto otw gocapppp delisting dari bursa efek gojek karya anak bangsa otw bangkrut,negatif,idih idih double order triple order padahal customer bayar ongkir makanan hangat jadi dingin kerakusan kalian nyari margin gede tapi gada otak driver juga dirugikan karena harus bentrok dengan kesabaran menghadapi customer dan cuma dapat tarif order terdelusi demi gaji digit kantor kek kalian saham goto otw delisting dari bursa efek gojek karya anak bangsa otw bangkrut,idih idih double order triple order padahal customer bayar ongkir makanan hangat jadi dingin kerakusan kalian nyari margin gede tapi gada otak driver juga dirugikan karena harus bentrok dengan kesabaran menghadapi customer dan cuma dapat tarif order terdelusi demi gaji digit kantor kek kalian saham goto otw delisting dari bursa efek gojek karya anak bangsa otw bangkrut,idih idih duble order triplet order padahal customer bayar ongkir makanan hangat jadi dingin kerakusan kalian mencari margin gede tapi enggak ada otak driver juga dirugikan karena harus bentrok dengan kesabaran menghadapi customer dan cuma dapat tarif order terdelusi demi gaji digit kantor kayak kalian saham goto otw delisting dari bursa efek gojek karya anak bangsa otw bangkrut,idih idih duble triplet customer bayar ongkir makanan hangat jadi dingin kerakusan kalian mencari margin gede tapi enggak ada otak driver dirugikan karena harus bentrok dengan kesabaran menghadapi customer dan cuma dapat tarif terdelusi demi gaji digit kantor kayak kalian saham goto otw delisting bursa efek gojek karya anak bangsa otw bangkrut
Shera Dela,4,ini kenapa sih setiap mau klaim koin di gopet koin nya ga masuk dan notifikasi ga masuk juga padahal awal nya lancar Lancar aja jaringan juga lancar aneh bnget tolong diperbaiki min,2026-03-27 01:33:55,ini kenapa sih setiap mau klaim koin di gopet koin nya ga masuk dan notifikasi ga masuk juga padahal awal nya lancar lancar aja jaringan juga lancar aneh bnget tolong diperbaiki min,positif,ini kenapa sih setiap mau klaim koin gopet koin nya ga masuk dan notifikasi ga masuk juga padahal awal nya lancar lancar aja jaringan juga lancar aneh tolong diperbaiki min,ini kenapa sih setiap mau klaim koin gopet koin nya ga masuk dan notifikasi ga masuk juga padahal awal nya lancar lancar aja jaringan juga lancar aneh tolong diperbaiki min,ini kenapa sih setiap mau klaim koin gopet koin nya tidak masuk dan notifikasi tidak masuk juga padahal awal nya lancar lancar saja jaringan juga lancar aneh tolong diperbaiki min,ini kenapa setiap mau klaim koin gopet koin tidak masuk dan notifikasi tidak masuk awal lancar lancar saja jaringan lancar aneh diperbaiki
Budi sampurna,5,aman & sikap driver ramah,2026-03-27 01:29:44,aman sikap driver ramah,positif,aman sikap driver ramah,aman sikap driver ramah,aman sikap driver ramah,aman sikap driver ramah
Romi Andriansyah Raspati,5,"Sebelumnya aplikasi ini bisa jalan di hp saya Vivo Y36, tapi setelah pindah ke hp Infinix Note 40 Pro 5G, tidak bisa dibuka dengan keterangan ""silahkan download aplikasi resmi dari playstore"", sekarang sudah bisa, saya revisi ke bintang 5 😊",2026-03-27 01:19:47,sebelumnya aplikasi ini bisa jalan di hp saya vivo y tapi setelah pindah ke hp infinix note pro g tidak bisa dibuka dengan keterangan silahkan download aplikasi resmi dari playstore sekarang sudah bisa saya revisi ke bintang,positif,sebelumnya aplikasi ini bisa jalan hp saya vivo tapi setelah pindah hp infinix note pro tidak bisa dibuka dengan keterangan silahkan download aplikasi resmi dari playstore sekarang sudah bisa saya revisi bintang 5,sebelumnya aplikasi ini bisa jalan hp saya vivo tapi setelah pindah hp infinix note pro tidak bisa dibuka dengan keterangan silahkan download aplikasi resmi dari playstore sekarang sudah bisa saya revisi bintang 5,sebelumnya aplikasi ini bisa jalan handphone saya vivo tapi setelah pindah handphone infinix note pro tidak bisa dibuka dengan keterangan silakan download aplikasi resmi dari playstore sekarang sudah bisa saya revisi bintang lima,sebelumnya aplikasi ini bisa jalan handphone saya vivo tapi setelah pindah handphone infinix note pro tidak bisa dibuka dengan keterangan silakan download aplikasi resmi playstore sekarang sudah bisa saya revisi bintang lima
zulfikar zul,5,pelayanan oke,2026-03-27 01:16:30,pelayanan oke,positif,pelayanan oke,pelayanan oke,pelayanan oke,pelayanan
atillah tillah,5,menarik sekali dan sangat nyaman,2026-03-27 01:12:37,menarik sekali dan sangat nyaman,positif,menarik sekali dan sangat nyaman,menarik sekali dan sangat nyaman,menarik sekali dan sangat nyaman,menarik sekali dan sangat nyaman
Husny Satria,5,Awesome,2026-03-27 00:55:17,awesome,positif,awesome,awesome,awesome,awesome
Ahmad Shodiq,1,kurang promo untuk pengguna gopay,2026-03-27 00:41:15,kurang promo untuk pengguna gopay,negatif,kurang promo untuk pengguna gopay,kurang promo untuk pengguna gopay,kurang promo untuk pengguna gopay,kurang promo untuk pengguna
lucy prameswary,5,ok,2026-03-27 00:39:11,ok,positif,ok,ok,baik,baik
Neni Kustirah,5,ok,2026-03-27 00:35:07,ok,positif,ok,ok,baik,baik
Ary Bna,5,bagus responnya cepat,2026-03-27 00:17:08,bagus responnya cepat,positif,bagus responnya cepat,bagus responnya cepat,bagus responnya cepat,bagus responnya cepat
Indra Raharjo,4,mantap,2026-03-27 00:16:40,mantap,positif,mantap,mantap,mantap,mantap
S Parman,5,sangat membantu sekali,2026-03-27 00:01:55,sangat membantu sekali,positif,sangat membantu sekali,sangat membantu sekali,sangat membantu sekali,sangat membantu sekali
azmi azmi,5,membantu lebaran,2026-03-26 23:46:53,membantu lebaran,positif,membantu lebaran,membantu lebaran,membantu lebaran,membantu lebaran
Chandra Dewisutio,5,Knp tdk bisa kebuka? Jadi tdk bisa digunakan hrs di update terus,2026-03-26 23:01:30,knp tdk bisa kebuka jadi tdk bisa digunakan hrs di update terus,positif,bisa kebuka jadi bisa digunakan update terus,bisa kebuka jadi bisa digunakan update terus,bisa kebuk jadi bisa digunakan update terus,bisa kebuk jadi bisa digunakan update terus
Adi sutrisno,5,nanti aja,2026-03-26 22:42:48,nanti aja,positif,nanti aja,nanti aja,nanti saja,nanti saja
Wadiana,5,mantap gojek selalu di hati.,2026-03-26 22:06:32,mantap gojek selalu di hati,positif,mantap gojek selalu hati,mantap gojek selalu hati,mantap gojek selalu hati,mantap gojek selalu hati
Si Abang Baik,1,"supir gocar ga respon tapi bisa Nerima orderan, di chat ga bales2, mobil ga gerak, pas dibatalin trus mau pesen lagi argo naik 2x lipat, kecewa sama sistemnya",2026-03-26 22:06:11,supir gocar ga respon tapi bisa nerima orderan di chat ga bales mobil ga gerak pas dibatalin trus mau pesen lagi argo naik x lipat kecewa sama sistemnya,negatif,supir gocar ga respon tapi bisa nerima orderan chat ga mobil ga gerak pas dibatalin trus mau pesen lagi argo naik lipat kecewa sama sistemnya,supir gocar ga respon tapi bisa nerima orderan chat ga mobil ga gerak pas dibatalin trus mau pesen lagi argo naik lipat kecewa sama sistemnya,supir gocar tidak respons tapi bisa menerima orderan chat tidak mobil tidak gerak pas dibatalin terus mau pesan lagi argo naik lipat kecewa sama sistemnya,supir gocar tidak respons tapi bisa menerima orderan chat tidak mobil tidak gerak pas dibatalin terus mau pesan lagi argo naik lipat kecewa sama sistemnya
Paoji Saputra,1,driver gocar nya main main bokingan d ambil langsung d cencel sama drivernya kalo gax niat narik yah jangan buka aplikasinya,2026-03-26 21:18:59,driver gocar nya main main bokingan d ambil langsung d cencel sama drivernya kalo gax niat narik yah jangan buka aplikasinya,negatif,driver gocar nya main main bokingan ambil langsung cencel sama drivernya kalo gax niat narik yah jangan buka aplikasinya,driver gocar nya main main bokingan ambil langsung cencel sama drivernya kalo gax niat narik yah jangan buka aplikasinya,driver gocar nya main main bokingan ambil langsung encel sama drivernya kalo gax niat menarik ya jangan buka aplikasinya,driver gocar main main bokingan ambil langsung encel sama drivernya gax niat menarik jangan buka aplikasinya
Wahyu Hidayat,5,mantap,2026-03-26 21:12:33,mantap,positif,mantap,mantap,mantap,mantap
Azka Rizky,5,good,2026-03-26 20:37:39,good,positif,good,good,good,good
Muhammad Rifqy,5,mantap,2026-03-26 15:47:02,mantap,positif,mantap,mantap,mantap,mantap
Latih Haryati,1,gojek sekarang malah gila duit sama gila harta orang lain karena tidak bisa membantu masyarakat satu sama lain dan tidak ada tanggung jawab atas kesalahan nya dengan masyarakat RI dan kantor nya pun sama juga niat mencari duit atau niat mencari keributan,2026-03-26 14:48:50,gojek sekarang malah gila duit sama gila harta orang lain karena tidak bisa membantu masyarakat satu sama lain dan tidak ada tanggung jawab atas kesalahan nya dengan masyarakat ri dan kantor nya pun sama juga niat mencari duit atau niat mencari keributan,negatif,gojek sekarang malah gila duit sama gila harta orang lain karena tidak bisa membantu masyarakat satu sama lain dan tidak ada tanggung jawab atas kesalahan nya dengan masyarakat dan kantor nya pun sama juga niat mencari duit atau niat mencari keributan,gojek sekarang malah gila duit sama gila harta orang lain karena tidak bisa membantu masyarakat satu sama lain dan tidak ada tanggung jawab atas kesalahan nya dengan masyarakat dan kantor nya pun sama juga niat mencari duit atau niat mencari keributan,gojek sekarang malah gila duit sama gila harta orang lain karena tidak bisa membantu masyarakat satu sama lain dan tidak ada tanggung jawab atas kesalahan nya dengan masyarakat dan kantor nya pun sama juga niat mencari duit atau niat mencari keributan,gojek sekarang malah gila duit sama gila harta orang lain karena tidak bisa membantu masyarakat satu sama lain dan tidak ada tanggung jawab atas kesalahan dengan masyarakat dan kantor pun sama niat mencari duit atau niat mencari keributan
Alvyn Aurelius,1,susah kali dpt driver mau nunggu 50-60 menit mending gausah pesan,2026-03-26 14:43:29,susah kali dpt driver mau nunggu menit mending gausah pesan,negatif,susah kali driver mau nunggu menit mending gausah pesan,susah kali driver mau nunggu menit mending gausah pesan,susah kali driver mau menunggu menit mending enggak usah pesan,susah kali driver mau menunggu menit mending enggak usah pesan
Abie Tanjung,5,Mantap,2026-03-26 14:29:06,mantap,positif,mantap,mantap,mantap,mantap
Dian,5,good,2026-03-26 12:57:36,good,positif,good,good,good,good
n4khla,5,"knp 1 minggu full sebelum + sesudah lebaran susah nyari driver, ini mau makan aja hrs nunggu driver 3 jam",2026-03-26 12:43:08,knp minggu full sebelum sesudah lebaran susah nyari driver ini mau makan aja hrs nunggu driver jam,positif,minggu full sebelum sesudah lebaran susah nyari driver ini mau makan aja nunggu driver jam,minggu full sebelum sesudah lebaran susah nyari driver ini mau makan aja nunggu driver jam,minggu full sebelum sesudah lebaran susah mencari driver ini mau makan saja menunggu driver jam,minggu full sebelum sesudah lebaran susah mencari driver ini mau makan saja menunggu driver jam
Durrotul Rofiqi,1,"nyar driver food tuh minimal 20 menit, kalo emang ga dapet dapet yauda cancel, masa nunggu 44 menit, keburu mati pelanggan nya...",2026-03-26 12:39:28,nyar driver food tuh minimal menit kalo emang ga dapet dapet yauda cancel masa nunggu menit keburu mati pelanggan nya,negatif,nyar driver food tuh minimal menit kalo emang ga dapet dapet yauda cancel masa nunggu menit keburu mati pelanggan nya,nyar driver food tuh minimal menit kalo emang ga dapet dapet yauda cancel masa nunggu menit keburu mati pelanggan nya,nyar driver food tuh minimal menit kalo memang tidak dapat dapat yauda cancel masa menunggu menit keburu mati pelanggan nya,nyar driver food minimal menit memang tidak dapat dapat yauda cancel masa menunggu menit keburu mati pelanggan
Jeane Sia,5,"jleg, lama dapat driver padahal sudah pesan prioritas huft.",2026-03-26 10:19:07,jleg lama dapat driver padahal sudah pesan prioritas huft,positif,jleg lama dapat driver padahal sudah pesan prioritas huft,jleg lama dapat driver padahal sudah pesan prioritas huft,jleg lama dapat driver padahal sudah pesan prioritas huft,jleg lama dapat driver sudah pesan prioritas huft
Wiro Hidayat Hidayat,5,"aman, amanah",2026-03-26 09:36:22,aman amanah,positif,aman amanah,aman amanah,aman amanah,aman amanah
Siti Hafidoh,5,baik pelayanan baik,2026-03-26 08:24:22,baik pelayanan baik,positif,baik pelayanan baik,baik pelayanan baik,baik pelayanan baik,baik pelayanan baik
Linggar Suwandi,5,"Selamat saya menggunakan aplikasi ini, respon driver baik dan memenuhi ekspektasi. sebagai saran, mohon pastikan agar pendapatan driver tidak terpotong/berkurang oleh adanya promo dan diskon, dan pastikan driver tetap mendapatkan insentif sesuai nilai promo yang digunakan, karena kesejahteraan mitra sangat penting untuk keberlangsungan operasional.",2026-03-26 08:09:55,selamat saya menggunakan aplikasi ini respon driver baik dan memenuhi ekspektasi sebagai saran mohon pastikan agar pendapatan driver tidak terpotongberkurang oleh adanya promo dan diskon dan pastikan driver tetap mendapatkan insentif sesuai nilai promo yang digunakan karena kesejahteraan mitra sangat penting untuk keberlangsungan operasional,positif,selamat saya menggunakan aplikasi ini respon driver baik dan memenuhi ekspektasi sebagai saran mohon pastikan agar pendapatan driver tidak terpotong berkurang oleh adanya promo dan diskon dan pastikan driver tetap mendapatkan insentif sesuai nilai promo yang digunakan karena mitra sangat penting untuk operasional,selamat saya menggunakan aplikasi ini respon driver baik dan memenuhi ekspektasi sebagai saran mohon pastikan agar pendapatan driver tidak terpotong berkurang oleh adanya promo dan diskon dan pastikan driver tetap mendapatkan insentif sesuai nilai promo yang digunakan karena mitra sangat penting untuk operasional,selamat saya menggunakan aplikasi ini respons driver baik dan memenuhi ekspektasi sebagai saran mohon patikan agar pendapatan driver tidak terpotong berkurang oleh adanya promo dan diskon dan patikan driver tetap mendapatkan insentif sesuai nilai promo yang digunakan karena mitra sangat penting untuk operasional,selamat saya menggunakan aplikasi ini respons driver baik dan memenuhi ekspektasi sebagai saran mohon patikan agar pendapatan driver tidak terpotong berkurang oleh adanya promo dan diskon dan patikan driver tetap mendapatkan insentif sesuai nilai promo yang digunakan karena mitra sangat penting untuk operasional
Widi Astuti,5,cepat ramah,2026-03-26 07:37:24,cepat ramah,positif,cepat ramah,cepat ramah,cepat ramah,cepat ramah
Nellycandini Pakpahan,1,pesan goofod udah nunggu 1 jam gak bisa dicancel aplikasi lelet,2026-03-26 06:18:36,pesan goofod udah nunggu jam gak bisa dicancel aplikasi lelet,negatif,pesan goofod udah nunggu jam gak bisa dicancel aplikasi lelet,pesan goofod udah nunggu jam gak bisa dicancel aplikasi lelet,pesan goofod sudah menunggu jam enggak bisa dicancel aplikasi lelet,pesan goofod sudah menunggu jam enggak bisa dicancel aplikasi lelet
Fadilw,5,baguss,2026-03-26 05:19:04,baguss,positif,baguss,baguss,bagus,bagus
Gumilar Gugum,5,Raja nya online di Indonesia karena senior aplikasi pertama made in anak bangsa,2026-03-26 03:10:23,raja nya online di indonesia karena senior aplikasi pertama made in anak bangsa,positif,raja nya online indonesia karena senior aplikasi pertama made anak bangsa,raja nya online indonesia karena senior aplikasi pertama made anak bangsa,raja nya online indonesia karena senior aplikasi pertama made anak bangsa,raja online indonesia karena senior aplikasi pertama made anak bangsa
Lena Herlina,3,susah dapet driver nya udah gitu lelet,2026-03-26 02:23:21,susah dapet driver nya udah gitu lelet,netral,susah dapet driver nya udah gitu lelet,susah dapet driver nya udah gitu lelet,susah dapat driver nya sudah begitu lelet,susah dapat driver sudah begitu lelet
Bara Alfatih,1,"gopay pencuri saldo.saldo 800k lebih tidak bisa digunakan,alsan pihak gopay,trnsaksi tidak wajar",2026-03-26 02:16:59,gopay pencuri saldosaldo k lebih tidak bisa digunakanalsan pihak gopaytrnsaksi tidak wajar,negatif,gopay pencuri saldo saldo lebih tidak bisa digunakan alsan pihak gopay trnsaksi tidak wajar,gopay pencuri saldo saldo lebih tidak bisa digunakan alsan pihak gopay trnsaksi tidak wajar,gopay pencuri saldo saldo lebih tidak bisa digunakan alasan pihak gopay transaksi tidak wajar,pencuri saldo saldo lebih tidak bisa digunakan alasan pihak transaksi tidak wajar
Nanny stiatriastuty,5,mudah penggunaanya,2026-03-26 01:47:00,mudah penggunaanya,positif,mudah penggunaanya,mudah penggunaanya,mudah penggunaannya,mudah penggunaannya
Nada Muhammad,1,"Aplikasi nya re connect mulu,g bisa buka menu,g bisa buat order apapun, tulisan nya suruh cek kuota internet/wifi padahal kuota banyak,wifi jg ada kenceng banget malah,memori hp lega.Udh uninstall install di 2 hp pun tetep sama,tetep ga ngaruh.Dahlah pilih yg lain aja yg bisa dipke",2026-03-26 01:44:13,aplikasi nya re connect mulug bisa buka menug bisa buat order apapun tulisan nya suruh cek kuota internetwifi padahal kuota banyakwifi jg ada kenceng banget malahmemori hp legaudh uninstall install di hp pun tetep samatetep ga ngaruhdahlah pilih yg lain aja yg bisa dipke,negatif,aplikasi nya connect mulu bisa buka menu bisa buat order apapun tulisan nya suruh cek kuota internet wifi padahal kuota banyak wifi ada kenceng banget malah memori hp lega udh uninstall install hp pun tetep sama tetep ga ngaruh dahlah pilih lain aja bisa dipke,aplikasi nya connect mulu bisa buka menu bisa buat order apapun tulisan nya suruh cek kuota internet wifi padahal kuota banyak wifi ada kenceng banget malah memori hp lega udh uninstall install hp pun tetep sama tetep ga ngaruh dahlah pilih lain aja bisa dipke,aplikasi nya connect mulu bisa buka menu bisa buat order apapun tulisan nya suruh cek kuota internet wifi padahal kuota banyak wifi ada kencang banget malah memori handphone lega sudah uninstall install handphone pun tetap sama tetap tidak ngaruh dahlah pilih lain saja bisa dipke,aplikasi connect bisa buka menu bisa buat apapun tulisan suruh kuota internet wifi kuota banyak wifi ada kencang malah memori handphone lega sudah uninstall install handphone pun tetap sama tetap tidak ngaruh dahlah pilih lain saja bisa dipke
Untara Mardhani,5,keren,2026-03-26 01:37:25,keren,positif,keren,keren,keren,keren
Narendra Lusi,5,menyenangkan,2026-03-26 01:26:20,menyenangkan,positif,menyenangkan,menyenangkan,menyenangkan,menyenangkan
Dian Sahara,3,sekarang jadi sulit banget dapet drivernyaa mau ituu gojek gocar gofood selalu di cancel sekalinyaa dapet driver jaraknyaa jauh bangeet,2026-03-26 01:25:57,sekarang jadi sulit banget dapet drivernyaa mau ituu gojek gocar gofood selalu di cancel sekalinyaa dapet driver jaraknyaa jauh bangeet,netral,sekarang jadi sulit banget dapet drivernyaa mau ituu gojek gocar gofood selalu cancel sekalinyaa dapet driver jaraknyaa jauh bangeet,sekarang jadi sulit banget dapet drivernyaa mau ituu gojek gocar gofood selalu cancel sekalinyaa dapet driver jaraknyaa jauh bangeet,sekarang jadi sulit banget dapat drivernyaa mau itu gojek gocar gofood selalu cancel sekalinya dapat driver jaraknya jauh banget,sekarang jadi sulit dapat drivernyaa mau itu gojek gocar gofood selalu cancel sekalinya dapat driver jaraknya jauh
ratu Machdi,1,"parah gojek kalo tiap hujan gak nyangkut² driver, bukan masalah di driver tapi di aplikatornya,, udah mahal lelet, alhasil pindah ke aplikasi grab",2026-03-26 01:23:43,parah gojek kalo tiap hujan gak nyangkut driver bukan masalah di driver tapi di aplikatornya udah mahal lelet alhasil pindah ke aplikasi grab,negatif,parah gojek kalo tiap hujan gak nyangkut driver bukan masalah driver tapi aplikatornya udah mahal lelet alhasil pindah aplikasi grab,parah gojek kalo tiap hujan gak nyangkut driver bukan masalah driver tapi aplikatornya udah mahal lelet alhasil pindah aplikasi grab,parah gojek kalo tiap hujan enggak nyangkut driver bukan masalah driver tapi aplikatornya sudah mahal lelet alhasil pindah aplikasi grab,parah gojek tiap hujan enggak nyangkut driver bukan masalah driver tapi aplikatornya sudah mahal lelet alhasil pindah aplikasi grab
Akbar Tanarubun,2,good,2026-03-26 01:22:04,good,negatif,good,good,good,good
Amanda Nur,1,"udah nunggu lama malah di cancel sama driver nya klo emg gamau take orderan ya gausah di take, orang juga cape kali nungguin. tolong di perbaiki lgi ya",2026-03-26 01:21:10,udah nunggu lama malah di cancel sama driver nya klo emg gamau take orderan ya gausah di take orang juga cape kali nungguin tolong di perbaiki lgi ya,negatif,udah nunggu lama malah cancel sama driver nya klo emg gamau take orderan gausah take orang juga cape kali nungguin tolong perbaiki lgi,udah nunggu lama malah cancel sama driver nya klo emg gamau take orderan gausah take orang juga cape kali nungguin tolong perbaiki lgi,sudah menunggu lama malah cancel sama driver nya kalo memang enggak mau take orderan enggak usah take orang juga capek kali menunggu tolong perbaiki lagi,sudah menunggu lama malah cancel sama driver memang enggak mau take orderan enggak usah take orang capek kali menunggu perbaiki lagi
leo marbun,5,mantap,2026-03-26 01:08:04,mantap,positif,mantap,mantap,mantap,mantap
Roha Yatin,5,puas,2026-03-26 01:05:09,puas,positif,puas,puas,puas,puas
Nada Sulistia,4,sangat membantu,2026-03-26 01:02:20,sangat membantu,positif,sangat membantu,sangat membantu,sangat membantu,sangat membantu
Luthfiana Choirunnisa,1,"susah cari driver pas mendung ( ga ujan) padahal dikota besar,",2026-03-26 00:58:48,susah cari driver pas mendung ga ujan padahal dikota besar,negatif,susah cari driver pas mendung ga ujan padahal dikota besar,susah cari driver pas mendung ga ujan padahal dikota besar,susah cari driver pas mendung tidak ujan padahal dikota besar,susah cari driver pas mendung tidak ujan dikota besar
Yayah Athifah,5,murah cepat & akurat,2026-03-26 00:57:50,murah cepat akurat,positif,murah cepat akurat,murah cepat akurat,murah cepat akurat,cepat akurat
Aqila Zhafira,5,sangat membantu dalam beraktivitas,2026-03-26 00:39:44,sangat membantu dalam beraktivitas,positif,sangat membantu dalam beraktivitas,sangat membantu dalam beraktivitas,sangat membantu dalam beraktivitas,sangat membantu dalam beraktivitas
Sis Susilo,5,puas,2026-03-26 00:26:48,puas,positif,puas,puas,puas,puas
